B03002_003E,B01001_002E,B01001_003E,B19013_001E,B23025_003E,B23025_004E,B25064_001E,B25077_001E,B25058_001E,B25003_002E,B25003_003E,B25004_002E,B25004_003E,B25004_004E,B25004_005E,B25070_007E,B25070_008E,B25070_009E,B19057_002E,B25034_001E,B25034_010E,B25034_011E,B25035_001E,B25092_001E,B25081_002E,B25081_003E,B25014_002E,B25014_003E,county,tract,block group,B25002_003E,B01001_001E,B01002_001E,B02001_002E,B02001_003E,B02001_005E,B03002_012E,B11001_001E,B11001_002E,B11001_003E,B11001_005E,B11001_006E,B15003_017E,B15003_022E,B15003_025E,B23025_001E,B23025_002E,B23025_005E,B25001_001E,B25002_002E,B25009_002E,B25009_003E,B25074_008E,B25074_009E,B25034_002E,B25034_003E,B25034_004E,B25034_005E,B09002_001E,B19058_002E,B08007_001E,B08008_001E,B08134_001E,B01003_001E,B01002A_001E,B01002B_001E,B01002D_001E,B01002H_001E,B02008_001E,B08303_001E,B08303_002E,B08303_003E,B08303_004E,B08303_005E,B08303_006E,B08303_007E,B08303_008E,B08303_009E,B08303_010E,B15002_001E,B15002_003E,B15002_004E,B15002_005E,B15002_006E,B15002_007E,B15002_008E,B15002_009E,B16004_001E,B16004_002E,B16004_003E,B16004_004E,B16004_005E,B16004_006E,B16004_007E,B17010_002E,B17010_003E,B17010_004E,B17010_005E,B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19301_001E,B23022_001E,B23022_002E,B25032_003E,B25032_004E,B25032_005E,B25032_006E,B25032_007E,B25075_002E,B25075_003E,B25075_004E,B25075_005E,B25075_006E,B25075_007E,B25075_008E,B25075_009E,B25033_001E,B25034_006E,B25034_007E,B25034_008E,B25034_009E,B25037_002E,B25040_002E,B25041_002E,B25046_001E,B25057_001E,B25059_001E,B25060_001E,B25065_001E,B25071_001E,B25076_001E,B25078_001E,B25082_001E,state_11.0,state_24.0,state_51.0,filing_rate,filings
105,815,164,23500,603,491,805,346400,702,167,459,10,0,0,19,75,20,28,104,734,80,180,1957,17,142,6,167,148,1,7503,2,108,1877,26,105,1753,0,27,626,372,46,27,299,308,103,5,1234,603,112,734,626,167,41,10,39,0,0,11,18,640,373,469,469,433,1877,37,24,34,37,112,433,0,4,29,65,77,27,109,0,8,974,0,0,16,0,13,19,16,1631,437,437,0,0,0,0,180,9,9,0,626,156,85,39,51,19,50,0,24,15,17,15279,1109,438,69,74,0,0,6,0,0,0,0,0,0,0,0,1812,28,77,181,159,0,260,5,468,204,1025,276100,331700,34,187800,427200,54375000,1,0,0,21.32,97.0
99,494,0,36354,423,349,925,263500,807,135,258,43,0,0,0,101,12,0,63,454,65,190,1946,15,86,0,135,135,1,7601,4,61,828,36,99,704,0,22,393,140,75,0,65,152,47,0,703,423,74,454,393,135,73,0,25,0,0,20,11,99,149,338,338,338,828,60,36,36,60,99,338,0,0,26,49,72,0,11,0,45,637,23,0,11,20,12,20,12,780,77,77,0,0,0,0,34,0,0,0,393,81,33,0,0,45,31,62,0,10,0,25659,608,391,0,93,11,14,17,14,0,0,0,0,0,0,0,805,45,25,60,38,0,281,25,355,509,899,166500,211100,31,205300,313500,31807600,1,0,0,30.77,88.0
21,875,80,17388,587,426,679,376728,633,0,935,0,0,0,0,70,89,44,64,1005,188,213,1960,22,0,0,0,0,1,9204,2,70,1894,30,51,1557,11,251,935,406,45,8,353,397,9,8,1315,587,161,1005,935,0,0,24,98,0,9,35,24,555,393,391,391,391,1894,32,31,37,36,51,391,0,43,0,7,83,0,40,30,0,1182,48,0,0,18,0,33,8,1674,395,323,72,72,0,0,123,0,0,0,935,306,87,200,26,25,29,11,7,58,0,14469,929,364,0,0,0,0,0,0,0,0,0,0,0,0,0,1894,22,184,225,105,1388,361,72,252,194,1123,622900,692500,29,278280,482228,6182096,1,0,0,16.81,154.0
26,548,12,44890,624,525,1166,261700,1094,115,329,20,0,20,21,48,40,87,9,546,272,58,1948,26,97,0,115,108,1,7409,1,102,1298,36,26,1079,0,184,444,285,46,26,213,371,62,0,1046,624,99,546,444,115,59,0,9,0,0,36,0,283,127,525,525,507,1298,32,35,33,31,35,507,0,0,108,0,58,0,43,0,110,802,0,70,0,0,10,0,10,1286,283,200,83,41,42,0,30,0,0,0,444,9,27,0,14,31,43,0,101,68,13,18970,943,512,0,115,0,0,0,0,0,0,0,0,0,0,0,1298,0,31,93,56,0,330,20,242,980,1207,315000,377200,37,235900,280800,-37839509,1,0,0,88.3,249.0
41,1407,89,27105,1087,831,969,264500,873,64,897,18,0,0,0,23,96,94,132,1016,62,132,1962,24,43,0,64,64,1,7502,1,55,3495,30,41,3434,0,0,961,644,75,134,435,667,56,0,2257,1087,256,1016,961,64,54,0,142,0,0,150,42,1155,433,831,831,831,3495,63,30,30,63,52,831,42,32,0,57,165,0,140,23,68,1875,8,0,0,17,22,66,98,3157,1020,1020,0,0,0,0,236,17,9,0,961,236,74,56,32,135,56,39,55,31,61,12213,1731,680,11,53,0,0,0,0,0,0,0,12,0,0,0,3022,20,158,163,289,1980,597,42,582,344,1138,717500,815700,36,202680,290300,49806180,1,0,0,23.89,254.0
24,391,63,113205,265,228,2188,350700,1931,209,38,43,0,0,0,0,0,0,0,330,86,111,1946,9,92,47,209,199,1,7603,3,83,902,35,55,801,46,93,247,168,86,3,79,38,120,0,544,265,37,330,247,209,67,0,0,0,0,0,0,371,50,228,228,204,902,41,17,37,44,55,204,0,0,29,0,6,16,77,0,0,497,0,0,0,6,0,0,0,786,289,289,0,0,0,0,38,0,0,0,247,0,0,16,38,0,0,0,0,0,29,30914,288,148,209,0,0,0,0,0,0,0,0,0,0,0,0,902,0,6,31,96,1953,236,0,319,1651,2268,382987,410120,37,313100,388300,74929300,1,0,0,9.62,5.0
127,437,16,60139,610,560,1303,416100,1070,107,246,52,0,0,19,7,30,32,0,456,168,144,1945,23,93,17,107,107,1,8904,2,103,881,31,127,614,32,121,353,114,53,18,43,173,199,0,773,610,50,456,353,107,51,0,36,0,0,10,0,74,44,560,560,548,881,29,35,35,29,127,548,0,0,19,96,77,9,163,0,38,700,0,11,0,0,0,0,9,844,71,45,26,26,0,0,28,19,9,0,353,88,23,10,4,0,0,20,31,0,0,29497,727,383,0,96,11,0,0,0,0,0,0,12,0,0,0,881,0,23,67,44,1945,175,0,335,798,1512,289200,342200,39,236900,527100,25233011,1,0,0,7.14,16.0
2652,1891,45,126083,3361,3183,2351,556500,2276,515,1512,107,0,0,0,59,145,45,34,2204,0,80,2007,18,456,44,515,377,1,7200,1,177,4082,31,2860,886,205,227,2027,650,510,23,117,85,1703,113,3676,3392,178,2204,2027,515,237,0,46,367,374,1363,20,254,95,3198,3198,3082,4082,31,29,33,30,2991,3082,0,138,372,411,512,310,490,158,136,3491,0,0,0,0,0,0,0,3836,160,136,0,0,0,0,25,0,0,0,2027,50,5,10,0,10,50,56,29,9,69,76029,3528,1663,0,203,0,0,0,0,0,0,0,0,0,0,0,4082,0,0,0,0,2006,397,235,1780,1965,2640,3431100,3598300,23,404300,719900,288750100,1,0,0,5.77,102.0
555,459,0,104500,740,648,2323,378400,2316,278,370,0,51,0,0,39,42,0,0,699,0,34,1967,12,123,0,278,278,1,11000,3,51,852,37,646,85,62,125,648,53,35,18,0,22,356,13,852,740,92,699,648,278,229,0,25,110,0,5,70,0,0,648,648,648,852,36,44,39,39,671,648,0,0,104,88,177,158,9,52,0,847,0,0,0,0,0,0,0,852,0,0,0,0,0,0,0,0,0,0,648,38,25,0,0,0,24,42,42,0,0,81774,707,417,9,60,0,0,0,0,0,0,0,0,0,0,0,852,31,37,298,114,1963,315,62,463,1525,2758,775700,804900,29,306700,488200,125115000,1,0,0,1.7,4.0
0,458,32,55729,620,512,1014,226200,827,209,188,13,0,0,21,0,10,37,13,472,107,104,1954,24,178,39,209,199,1,7809,2,75,1206,38,0,1167,8,1,397,239,57,23,159,228,47,0,981,620,108,472,397,209,69,0,49,0,32,13,0,287,131,498,498,498,1206,40,38,36,41,0,498,0,0,0,19,74,115,13,18,31,690,0,0,17,11,0,9,19,1156,286,286,0,0,0,0,89,0,0,0,397,62,42,13,33,47,10,13,0,0,21,20981,793,263,100,109,0,0,0,0,0,0,0,11,0,0,0,1182,57,94,0,65,1972,251,0,367,99,1564,130900,176500,49,172100,276500,49807000,1,0,0,55.97,89.0
