id,name,parent_location,year,type,filings,filing_rate
110010042022,"District of Columbia, District of Columbia, 4202, 2",District of Columbia,2018,observed,20.0,3.1
110010043001,"District of Columbia, District of Columbia, 4300, 1",District of Columbia,2018,observed,43.0,4.8
110010043002,"District of Columbia, District of Columbia, 4300, 2",District of Columbia,2018,observed,56.0,8.51
110010044001,"District of Columbia, District of Columbia, 4400, 1",District of Columbia,2018,observed,20.0,2.34
110010044002,"District of Columbia, District of Columbia, 4400, 2",District of Columbia,2018,observed,49.0,9.61
110010046001,"District of Columbia, District of Columbia, 4600, 1",District of Columbia,2018,observed,28.0,7.37
110010046002,"District of Columbia, District of Columbia, 4600, 2",District of Columbia,2018,observed,18.0,7.38
110010047011,"District of Columbia, District of Columbia, 4701, 1",District of Columbia,2018,observed,24.0,6.23
110010047012,"District of Columbia, District of Columbia, 4701, 2",District of Columbia,2018,observed,318.0,20.45
110010047021,"District of Columbia, District of Columbia, 4702, 1",District of Columbia,2018,observed,94.0,5.63
110010048011,"District of Columbia, District of Columbia, 4801, 1",District of Columbia,2018,observed,22.0,3.13
110010048021,"District of Columbia, District of Columbia, 4802, 1",District of Columbia,2018,observed,11.0,1.87
110010048022,"District of Columbia, District of Columbia, 4802, 2",District of Columbia,2018,observed,153.0,17.73
110010049011,"District of Columbia, District of Columbia, 4901, 1",District of Columbia,2018,observed,48.0,12.87
110010049012,"District of Columbia, District of Columbia, 4901, 2",District of Columbia,2018,observed,46.0,4.61
110010049021,"District of Columbia, District of Columbia, 4902, 1",District of Columbia,2018,observed,56.0,23.43
110010049022,"District of Columbia, District of Columbia, 4902, 2",District of Columbia,2018,observed,66.0,8.47
110010050011,"District of Columbia, District of Columbia, 5001, 1",District of Columbia,2018,observed,16.0,8.25
110010050012,"District of Columbia, District of Columbia, 5001, 2",District of Columbia,2018,observed,12.0,3.06
110010050021,"District of Columbia, District of Columbia, 5002, 1",District of Columbia,2018,observed,16.0,1.9
110010050022,"District of Columbia, District of Columbia, 5002, 2",District of Columbia,2018,observed,39.0,5.34
110010050023,"District of Columbia, District of Columbia, 5002, 3",District of Columbia,2018,observed,17.0,7.49
110010050024,"District of Columbia, District of Columbia, 5002, 4",District of Columbia,2018,observed,41.0,6.71
110010052011,"District of Columbia, District of Columbia, 5201, 1",District of Columbia,2018,observed,56.0,4.75
110010052012,"District of Columbia, District of Columbia, 5201, 2",District of Columbia,2018,observed,2.0,0.52
110010052013,"District of Columbia, District of Columbia, 5201, 3",District of Columbia,2018,observed,10.0,2.02
110010052014,"District of Columbia, District of Columbia, 5201, 4",District of Columbia,2018,observed,44.0,7.47
110010053011,"District of Columbia, District of Columbia, 5301, 1",District of Columbia,2018,observed,11.0,2.76
110010053012,"District of Columbia, District of Columbia, 5301, 2",District of Columbia,2018,observed,2.0,0.68
110010053013,"District of Columbia, District of Columbia, 5301, 3",District of Columbia,2018,observed,19.0,2.09
110010053014,"District of Columbia, District of Columbia, 5301, 4",District of Columbia,2018,observed,38.0,6.45
110010055001,"District of Columbia, District of Columbia, 5500, 1",District of Columbia,2018,observed,19.0,4.4
110010055002,"District of Columbia, District of Columbia, 5500, 2",District of Columbia,2018,observed,6.0,0.87
110010055003,"District of Columbia, District of Columbia, 5500, 3",District of Columbia,2018,observed,18.0,2.97
110010055004,"District of Columbia, District of Columbia, 5500, 4",District of Columbia,2018,observed,1.0,0.31
110010055005,"District of Columbia, District of Columbia, 5500, 5",District of Columbia,2018,observed,6.0,2.14
110010056001,"District of Columbia, District of Columbia, 5600, 1",District of Columbia,2018,observed,2.0,0.27
110010056002,"District of Columbia, District of Columbia, 5600, 2",District of Columbia,2018,observed,1.0,0.43
110010056003,"District of Columbia, District of Columbia, 5600, 3",District of Columbia,2018,observed,12.0,2.41
110010056004,"District of Columbia, District of Columbia, 5600, 4",District of Columbia,2018,observed,8.0,2.05
110010058001,"District of Columbia, District of Columbia, 5800, 1",District of Columbia,2018,observed,39.0,4.2
110010058002,"District of Columbia, District of Columbia, 5800, 2",District of Columbia,2018,observed,5.0,0.84
110010059001,"District of Columbia, District of Columbia, 5900, 1",District of Columbia,2018,observed,49.0,4.75
110010062021,"District of Columbia, District of Columbia, 6202, 1",District of Columbia,2018,observed,1.0,2.63
110010064001,"District of Columbia, District of Columbia, 6400, 1",District of Columbia,2018,observed,79.0,10.56
110010064002,"District of Columbia, District of Columbia, 6400, 2",District of Columbia,2018,observed,12.0,3.22
110010065001,"District of Columbia, District of Columbia, 6500, 1",District of Columbia,2018,observed,9.0,2.5
110010065002,"District of Columbia, District of Columbia, 6500, 2",District of Columbia,2018,observed,1.0,0.44
