id,name,parent_location,year,type,filings,filing_rate,threatened,threatened_rate,judgements,judgement_rate,Eviction_Score
110010052014,"District of Columbia, District of Columbia, 5201, 4",District of Columbia,2018,observed,44.0,7.47,29.0,4.92,4.0,0.68,-0.8645976342154856
110010053011,"District of Columbia, District of Columbia, 5301, 1",District of Columbia,2018,observed,11.0,2.76,9.0,2.26,1.0,0.25,-1.4371223516214946
110010053012,"District of Columbia, District of Columbia, 5301, 2",District of Columbia,2018,observed,2.0,0.68,2.0,0.68,0.0,0.0,-1.6280036614544175
110010053013,"District of Columbia, District of Columbia, 5301, 3",District of Columbia,2018,observed,19.0,2.09,16.0,1.76,1.0,0.11,-1.3256161500910009
110010053014,"District of Columbia, District of Columbia, 5301, 4",District of Columbia,2018,observed,38.0,6.45,24.0,4.07,3.0,0.51,-1.0165483190668168
110010055001,"District of Columbia, District of Columbia, 5500, 1",District of Columbia,2018,observed,19.0,4.4,9.0,2.08,1.0,0.23,-1.4050481875768468
110010055002,"District of Columbia, District of Columbia, 5500, 2",District of Columbia,2018,observed,6.0,0.87,5.0,0.73,0.0,0.0,-1.5730529394368387
110010055003,"District of Columbia, District of Columbia, 5500, 3",District of Columbia,2018,observed,18.0,2.97,11.0,1.81,3.0,0.49,-1.2379708449867726
110010055004,"District of Columbia, District of Columbia, 5500, 4",District of Columbia,2018,observed,1.0,0.31,1.0,0.31,0.0,0.0,-1.639467814535334
110010055005,"District of Columbia, District of Columbia, 5500, 5",District of Columbia,2018,observed,6.0,2.14,3.0,1.07,1.0,0.36,-1.502480528814157
110010056001,"District of Columbia, District of Columbia, 5600, 1",District of Columbia,2018,observed,2.0,0.27,2.0,0.27,0.0,0.0,-1.62186114776941
110010056002,"District of Columbia, District of Columbia, 5600, 2",District of Columbia,2018,observed,1.0,0.43,1.0,0.43,0.0,0.0,-1.6412656234187506
110010056003,"District of Columbia, District of Columbia, 5600, 3",District of Columbia,2018,observed,12.0,2.41,6.0,1.21,1.0,0.2,-1.462504774996585
110010056004,"District of Columbia, District of Columbia, 5600, 4",District of Columbia,2018,observed,8.0,2.05,8.0,2.05,0.0,0.0,-1.5464842633780507
110010058001,"District of Columbia, District of Columbia, 5800, 1",District of Columbia,2018,observed,39.0,4.2,25.0,2.69,4.0,0.43,-0.9366662451796147
110010058002,"District of Columbia, District of Columbia, 5800, 2",District of Columbia,2018,observed,5.0,0.84,5.0,0.84,5.0,0.84,-1.205035936710011
110010059001,"District of Columbia, District of Columbia, 5900, 1",District of Columbia,2018,observed,49.0,4.75,34.0,3.3,5.0,0.48,-0.7302389503324002
110010062021,"District of Columbia, District of Columbia, 6202, 1",District of Columbia,2018,observed,1.0,2.63,1.0,2.63,0.0,0.0,-1.674225452948059
110010064001,"District of Columbia, District of Columbia, 6400, 1",District of Columbia,2018,observed,79.0,10.56,54.0,7.22,12.0,1.6,0.10983859009447043
110010064002,"District of Columbia, District of Columbia, 6400, 2",District of Columbia,2018,observed,12.0,3.22,12.0,3.22,2.0,0.54,-1.314347619706699
110010065001,"District of Columbia, District of Columbia, 6500, 1",District of Columbia,2018,observed,9.0,2.5,6.0,1.67,0.0,0.0,-1.5636526154777348
110010065002,"District of Columbia, District of Columbia, 6500, 2",District of Columbia,2018,observed,1.0,0.44,1.0,0.44,0.0,0.0,-1.641415440825702
110010066001,"District of Columbia, District of Columbia, 6600, 1",District of Columbia,2018,observed,5.0,1.21,5.0,1.21,1.0,0.24,-1.4987949242417562
110010067001,"District of Columbia, District of Columbia, 6700, 1",District of Columbia,2018,observed,10.0,3.69,6.0,2.21,3.0,1.11,-1.2512836077177936
110010067003,"District of Columbia, District of Columbia, 6700, 3",District of Columbia,2018,observed,3.0,1.9,3.0,1.9,2.0,1.27,-1.3334911770809585
110010068011,"District of Columbia, District of Columbia, 6801, 1",District of Columbia,2018,observed,35.0,10.57,29.0,8.76,9.0,2.72,-0.40589637893468733
110010068012,"District of Columbia, District of Columbia, 6801, 2",District of Columbia,2018,observed,4.0,5.26,4.0,5.26,2.0,2.63,-1.1541647820406242
110010068021,"District of Columbia, District of Columbia, 6802, 1",District of Columbia,2018,observed,4.0,3.03,4.0,3.03,0.0,0.0,-1.6291959578117603
110010068022,"District of Columbia, District of Columbia, 6802, 2",District of Columbia,2018,observed,13.0,6.84,10.0,5.26,2.0,1.05,-1.2932924939973638
